Date,NSA Value,SA Value
2018-10-31,150.590763,149.7101
2018-09-30,150.2761404,148.7723433
2018-08-31,149.484037,147.5845344
2018-07-31,148.9136263,146.9144142
2018-06-30,148.3170449,146.6485189
2018-05-31,147.4098616,146.4328666
2018-04-30,146.3777835,146.0982446
2018-03-31,145.2247758,145.5825819
2018-02-28,143.879663,144.6923809
2018-01-31,142.9850629,143.9041988
2017-12-31,142.9346147,143.4552929
2017-11-30,143.3908803,143.2774771
2017-10-31,143.7693282,142.9395454
2017-09-30,143.9117428,142.4574258
2017-08-31,143.9754716,142.110231
2017-07-31,143.6286103,141.6886453
2017-06-30,142.6751554,141.0926558
2017-05-31,141.533087,140.6207634
2017-04-30,140.4674482,140.2484593
2017-03-31,139.4559062,139.8502896
2017-02-28,138.6456423,139.4315466
2017-01-31,138.1176786,138.9704278
2016-12-31,137.6785952,138.1205663
2016-11-30,137.3698103,137.2090293
2016-10-31,137.454745,136.6538034
2016-09-30,137.808936,136.3943617
2016-08-31,138.1183209,136.3254518
2016-07-31,138.0744267,136.262491
2016-06-30,137.415625,135.9536886
2016-05-31,136.3541688,135.5033845
2016-04-30,135.2021163,135.0260264
2016-03-31,134.1100297,134.5018821
2016-02-29,133.4461347,134.1572091
2016-01-31,133.4756833,134.238083
2015-12-31,133.9552241,134.315861
2015-11-30,134.5033331,134.2971842
2015-10-31,134.8999266,134.1196148
2015-09-30,134.9489757,133.5911352
2015-08-31,134.5590397,132.8815913
2015-07-31,133.9200306,132.2739304
2015-06-30,133.1858603,131.8340211
2015-05-31,132.2345731,131.3952233
2015-04-30,131.0974037,130.8931232
2015-03-31,130.1556695,130.4628095
2015-02-28,129.583046,130.1532086
2015-01-31,129.4539193,130.0769442
2014-12-31,129.801582,130.1420268
2014-11-30,130.4335334,130.2752704
2014-10-31,130.9834451,130.2933192
2014-09-30,131.196196,129.9883743
2014-08-31,130.9618477,129.490087
2014-07-31,130.3283138,128.8129647
2014-06-30,129.6862711,128.3520186
2014-05-31,129.1366706,128.2335567
2014-04-30,128.6099909,128.311676
2014-03-31,128.2147329,128.3528439
2014-02-28,127.8783049,128.2951472
2014-01-31,127.5554924,128.1036788
2013-12-31,127.4138671,127.8016847
2013-11-30,127.462432,127.394799
2013-10-31,127.7961844,127.2485315
2013-09-30,128.2972678,127.2971526
2013-08-31,128.7787502,127.5004618
2013-07-31,129.1737534,127.6735627
2013-06-30,129.2674662,127.8321154
2013-05-31,128.8815578,127.8620462
2013-04-30,128.1422032,127.7430206
2013-03-31,127.4183789,127.4238149
2013-02-28,126.7953679,127.1159148
2013-01-31,126.0978,126.6106225
2012-12-31,125.3697891,125.8260634
2012-11-30,124.8279712,124.8456068
2012-10-31,124.5755356,124.1502748
2012-09-30,124.803273,123.9776488
2012-08-31,125.4666279,124.3174193
2012-07-31,125.9056371,124.3697436
2012-06-30,125.7371022,124.2097625
2012-05-31,125.1276493,124.0466052
2012-04-30,124.1694928,123.7545579
2012-03-31,123.0651732,123.0626988
2012-02-29,122.1032663,122.4599075
2012-01-31,121.5703145,122.1296323
2011-12-31,121.7470783,122.190452
2011-11-30,122.3110154,122.2917103
2011-10-31,122.6195932,122.1844276
2011-09-30,122.6411213,121.8409434
2011-08-31,122.6935072,121.5363779
2011-07-31,122.7941447,121.2599411
2011-06-30,122.5863152,121.0839271
2011-05-31,122.0751426,121.0281985
2011-04-30,121.6341032,121.2766519
2011-03-31,121.3763887,121.4868625
2011-02-28,121.2363997,121.6881051
2011-01-31,121.1271944,121.7191652
2010-12-31,121.1496528,121.5461662
2010-11-30,121.4593256,121.3628884
2010-10-31,121.9604706,121.418842
2010-09-30,122.7437958,121.8437219
2010-08-31,123.9289787,122.6500701
2010-07-31,125.0684071,123.4703778
2010-06-30,125.7495431,124.2686542
2010-05-31,125.8127644,124.8107977
2010-04-30,125.3036672,125.0563593
2010-03-31,124.8257145,125.1103814
2010-02-28,124.774018,125.3902834
2010-01-31,125.1756197,125.8343391
2009-12-31,126.0361306,126.3508469
2009-11-30,126.9909545,126.757636
2009-10-31,127.62391,126.8743338
2009-09-30,127.8380834,126.7387519
2009-08-31,127.7708366,126.3406043
2009-07-31,127.4978857,125.8907505
2009-06-30,127.0526445,125.6883893
2009-05-31,126.6528383,125.7573376
2009-04-30,126.4115865,126.2549918
2009-03-31,126.3971141,126.7898747
2009-02-28,126.6032236,127.3034459
2009-01-31,126.989451,127.6473909
2008-12-31,127.6695979,127.9269803
2008-11-30,128.7224013,128.437962
2008-10-31,129.9959213,129.1334683
2008-09-30,131.281465,130.0653021
2008-08-31,132.1049559,130.5757491
2008-07-31,132.1713295,130.503612
2008-06-30,131.8650849,130.4957436
2008-05-31,131.3866171,130.5097303
2008-04-30,130.876661,130.7277051
2008-03-31,130.546092,130.9911078
2008-02-29,130.7588835,131.5578909
2008-01-31,131.6819604,132.3861585
2007-12-31,132.8344219,133.0528055
2007-11-30,133.8213167,133.4879383
2007-10-31,134.4601682,133.5405686
2007-09-30,134.8833356,133.6009312
2007-08-31,135.292156,133.7283016
2007-07-31,135.5187315,133.8763057
2007-06-30,135.4821829,134.1133023
2007-05-31,135.2208572,134.3248597
2007-04-30,134.4849755,134.2561679
2007-03-31,133.4305697,133.8299924
2007-02-28,132.5807488,133.3541234
2007-01-31,132.2201252,132.9028896
2006-12-31,132.1675247,132.4068123
2006-11-30,132.2609564,131.9865606
2006-10-31,132.5586063,131.7320188
2006-09-30,132.8752324,131.6416445
2006-08-31,133.0500533,131.5245815
2006-07-31,132.9755785,131.3879608
2006-06-30,132.6729939,131.3108523
2006-05-31,131.9918206,131.1156244
2006-04-30,130.8766838,130.6038123
2006-03-31,129.625248,129.9440731
2006-02-28,128.7186483,129.3983548
2006-01-31,128.3630096,129.0007515
2005-12-31,128.4044491,128.659549
2005-11-30,128.4955004,128.2596002
2005-10-31,128.3228916,127.5837764
2005-09-30,127.9165666,126.7467993
2005-08-31,127.2419439,125.7961278
2005-07-31,126.2859148,124.8168674
2005-06-30,125.175936,123.9330905
2005-05-31,123.9809918,123.2179256
2005-04-30,122.8232299,122.5854938
2005-03-31,121.8749879,122.0737932
2005-02-28,121.0193137,121.4933852
2005-01-31,120.277845,120.7811663
2004-12-31,119.7407244,119.9880507
2004-11-30,119.379713,119.2009505
2004-10-31,119.2397317,118.6207197
2004-09-30,119.2419873,118.2149876
2004-08-31,119.2366708,117.9208963
2004-07-31,119.0192191,117.6454622
2004-06-30,118.3369178,117.199024
2004-05-31,117.1662756,116.5223173
2004-04-30,115.9534589,115.77289
2004-03-31,114.9289175,115.0269242
2004-02-29,113.9890828,114.2851738
2004-01-31,113.2574179,113.6163517
2003-12-31,112.9161903,113.1104496
2003-11-30,112.8450412,112.6803821
2003-10-31,112.8833161,112.3378109
2003-09-30,112.8461363,111.947614
2003-08-31,112.5599965,111.3870965
2003-07-31,112.0024935,110.7724275
2003-06-30,111.1378007,110.1476187
2003-05-31,110.1364862,109.6041095
2003-04-30,109.3487327,109.1847649
2003-03-31,108.8637597,108.8614285
2003-02-28,108.4323078,108.5640117
2003-01-31,107.9187216,108.1172852
2002-12-31,107.5569737,107.6741102
2002-11-30,107.3980477,107.2365605
2002-10-31,107.1570324,106.6903704
2002-09-30,106.9198717,106.1969237
2002-08-31,106.8701488,105.8617861
2002-07-31,106.7389041,105.664177
2002-06-30,106.2647371,105.3571206
2002-05-31,105.5567411,105.0426692
2002-04-30,104.9251749,104.7095822
2002-03-31,104.5456088,104.4653088
2002-02-28,104.1922994,104.2471127
2002-01-31,103.7523841,103.8553889
2001-12-31,103.3496744,103.4091568
2001-11-30,103.1107328,102.9428672
2001-10-31,103.1189203,102.684476
2001-09-30,103.233063,102.6183341
2001-08-31,103.1945185,102.3144804
2001-07-31,102.8335438,101.903352
2001-06-30,102.2117842,101.3657597
2001-05-31,101.6446952,101.1223445
2001-04-30,101.2646832,101.0023411
2001-03-31,100.9116425,100.801013
2001-02-28,100.5686578,100.6006698
2001-01-31,100.2717151,100.3287317
2000-12-31,100.0,100.0
2000-11-30,99.84084618,99.63359539
2000-10-31,99.71384014,99.28505063
2000-09-30,99.36390007,98.84107383
2000-08-31,99.12428916,98.35677158
2000-07-31,99.32184085,98.48991399
2000-06-30,99.50355648,98.67647848
2000-05-31,99.33480189,98.7864478
2000-04-30,98.88789928,98.60021184
2000-03-31,98.17405655,98.08800201
2000-02-29,97.40055981,97.44777731
2000-01-31,96.87080329,96.91597468
