Date,Austin_HPI
2018-10-31,1294.0
2018-09-30,1291.0
2018-08-31,1291.0
2018-07-31,1291.0
2018-06-30,1291.0
2018-05-31,1291.0
2018-04-30,1290.0
2018-03-31,1290.0
2018-02-28,1290.0
2018-01-31,1290.0
2017-12-31,1288.0
2017-11-30,1283.0
2017-10-31,1275.0
2017-09-30,1268.0
2017-08-31,1259.0
2017-07-31,1253.0
2017-06-30,1247.0
2017-05-31,1246.0
2017-04-30,1244.0
2017-03-31,1245.0
2017-02-28,1246.0
2017-01-31,1247.0
2016-12-31,1249.0
2016-11-30,1252.0
2016-10-31,1256.0
2016-09-30,1258.0
2016-08-31,1257.0
2016-07-31,1256.0
2016-06-30,1254.0
2016-05-31,1254.0
2016-04-30,1255.0
2016-03-31,1256.0
2016-02-29,1249.0
2016-01-31,1241.0
2015-12-31,1235.0
2015-11-30,1236.0
2015-10-31,1239.0
2015-09-30,1243.0
2015-08-31,1243.0
2015-07-31,1239.0
2015-06-30,1232.0
2015-05-31,1222.0
2015-04-30,1214.0
2015-03-31,1209.0
2015-02-28,1209.0
2015-01-31,1207.0
2014-12-31,1205.0
2014-11-30,1204.0
2014-10-31,1200.0
2014-09-30,1193.0
2014-08-31,1181.0
2014-07-31,1169.0
2014-06-30,1154.0
2014-05-31,1136.0
2014-04-30,1126.0
2014-03-31,1123.0
2014-02-28,1128.0
2014-01-31,1131.0
2013-12-31,1127.0
2013-11-30,1123.0
2013-10-31,1117.0
2013-09-30,1117.0
2013-08-31,1120.0
2013-07-31,1114.0
2013-06-30,1103.0
2013-05-31,1085.0
2013-04-30,1073.0
2013-03-31,1059.0
2013-02-28,1049.0
2013-01-31,1043.0
2012-12-31,1043.0
2012-11-30,1049.0
2012-10-31,1062.0
2012-09-30,1074.0
2012-08-31,1075.0
2012-07-31,1064.0
2012-06-30,1046.0
2012-05-31,1025.0
2012-04-30,1012.0
2012-03-31,1008.0
2012-02-29,1012.0
2012-01-31,1012.0
2011-12-31,1012.0
2011-11-30,1013.0
2011-10-31,1017.0
2011-09-30,1017.0
2011-08-31,1011.0
2011-07-31,1002.0
2011-06-30,996.0
2011-05-31,998.0
2011-04-30,1008.0
2011-03-31,1025.0
2011-02-28,1047.0
2011-01-31,1073.0
2010-12-31,1091.0
2010-11-30,1100.0
