,Date,Value
0,2018-10-31,1294.0
1,2018-09-30,1291.0
2,2018-08-31,1291.0
3,2018-07-31,1291.0
4,2018-06-30,1291.0
5,2018-05-31,1291.0
6,2018-04-30,1290.0
7,2018-03-31,1290.0
8,2018-02-28,1290.0
9,2018-01-31,1290.0
10,2017-12-31,1288.0
11,2017-11-30,1283.0
12,2017-10-31,1275.0
13,2017-09-30,1268.0
14,2017-08-31,1259.0
15,2017-07-31,1253.0
16,2017-06-30,1247.0
17,2017-05-31,1246.0
18,2017-04-30,1244.0
19,2017-03-31,1245.0
20,2017-02-28,1246.0
21,2017-01-31,1247.0
22,2016-12-31,1249.0
23,2016-11-30,1252.0
24,2016-10-31,1256.0
25,2016-09-30,1258.0
26,2016-08-31,1257.0
27,2016-07-31,1256.0
28,2016-06-30,1254.0
29,2016-05-31,1254.0
30,2016-04-30,1255.0
31,2016-03-31,1256.0
32,2016-02-29,1249.0
33,2016-01-31,1241.0
34,2015-12-31,1235.0
35,2015-11-30,1236.0
36,2015-10-31,1239.0
37,2015-09-30,1243.0
38,2015-08-31,1243.0
39,2015-07-31,1239.0
40,2015-06-30,1232.0
41,2015-05-31,1222.0
42,2015-04-30,1214.0
43,2015-03-31,1209.0
44,2015-02-28,1209.0
45,2015-01-31,1207.0
46,2014-12-31,1205.0
47,2014-11-30,1204.0
48,2014-10-31,1200.0
49,2014-09-30,1193.0
50,2014-08-31,1181.0
51,2014-07-31,1169.0
52,2014-06-30,1154.0
53,2014-05-31,1136.0
54,2014-04-30,1126.0
55,2014-03-31,1123.0
56,2014-02-28,1128.0
57,2014-01-31,1131.0
58,2013-12-31,1127.0
59,2013-11-30,1123.0
60,2013-10-31,1117.0
61,2013-09-30,1117.0
62,2013-08-31,1120.0
63,2013-07-31,1114.0
64,2013-06-30,1103.0
65,2013-05-31,1085.0
66,2013-04-30,1073.0
67,2013-03-31,1059.0
68,2013-02-28,1049.0
69,2013-01-31,1043.0
70,2012-12-31,1043.0
71,2012-11-30,1049.0
72,2012-10-31,1062.0
73,2012-09-30,1074.0
74,2012-08-31,1075.0
75,2012-07-31,1064.0
76,2012-06-30,1046.0
77,2012-05-31,1025.0
78,2012-04-30,1012.0
79,2012-03-31,1008.0
80,2012-02-29,1012.0
81,2012-01-31,1012.0
82,2011-12-31,1012.0
83,2011-11-30,1013.0
84,2011-10-31,1017.0
85,2011-09-30,1017.0
86,2011-08-31,1011.0
87,2011-07-31,1002.0
88,2011-06-30,996.0
89,2011-05-31,998.0
90,2011-04-30,1008.0
91,2011-03-31,1025.0
92,2011-02-28,1047.0
93,2011-01-31,1073.0
94,2010-12-31,1091.0
95,2010-11-30,1100.0
